gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
3,200,64,3,98.22815533980582,4119,31768
3,200,128,1,98.85922330097087,4119,31768
3,200,128,2,98.7621359223301,4119,31768
3,200,128,3,98.61650485436893,4119,31768
3,200,256,1,98.68932038834951,4119,31768
3,200,256,2,98.7621359223301,4119,31768
3,200,256,3,98.7621359223301,4119,31768
3,200,512,1,98.7864077669903,4119,31768
3,200,512,2,98.7378640776699,4119,31768
3,200,512,3,98.7864077669903,4119,31768
3,200,1024,1,98.81067961165049,4119,31768
3,200,1024,2,98.83495145631068,4119,31768
3,200,1024,3,98.83495145631068,4119,31768
3,250,32,1,98.71171609139523,4113,31471
3,250,32,2,98.8818667963053,4113,31471
3,250,32,3,98.83325230918814,4113,31471
3,250,64,1,98.68740884783665,4113,31471
3,250,64,2,98.80894506562956,4113,31471
3,250,64,3,99.02771025765678,4113,31471
3,250,128,1,98.83325230918814,4113,31471
3,250,128,2,98.68740884783665,4113,31471
3,250,128,3,98.95478852698103,4113,31471
3,250,256,1,98.6387943607195,4113,31471
3,250,256,2,98.90617403986388,4113,31471
3,250,256,3,98.93048128342247,4113,31471
3,250,512,1,98.95478852698103,4113,31471
3,250,512,2,99.0034030140982,4113,31471
3,250,512,3,98.73602333495381,4113,31471
3,250,1024,1,99.22216820612543,4113,31471
3,250,1024,2,98.93048128342247,4113,31471
3,250,1024,3,99.02771025765678,4113,31471
3,300,32,1,98.90776699029126,4119,31172
3,300,32,2,99.00485436893204,4119,31172
3,300,32,3,98.98058252427184,4119,31172
3,300,64,1,99.22330097087378,4119,31172
3,300,64,2,99.1504854368932,4119,31172
3,300,64,3,99.07766990291262,4119,31172
3,300,128,1,99.24757281553399,4119,31172
3,300,128,2,99.02912621359224,4119,31172
3,300,128,3,99.27184466019418,4119,31172
3,300,256,1,98.95631067961165,4119,31172
3,300,256,2,99.22330097087378,4119,31172
3,300,256,3,98.98058252427184,4119,31172
3,300,512,1,99.19902912621359,4119,31172
3,300,512,2,99.19902912621359,4119,31172
3,300,512,3,99.1747572815534,4119,31172
3,300,1024,1,99.22330097087378,4119,31172
3,300,1024,2,99.07766990291262,4119,31172
3,300,1024,3,99.07766990291262,4119,31172
5,30,32,1,57.108140947752126,2469,19677
5,30,32,2,59.45727014985824,2469,19677
5,30,32,3,59.65978128797084,2469,19677
5,30,64,1,56.90562980963953,2469,19677
5,30,64,2,58.363710004050226,2469,19677
5,30,64,3,60.06480356419603,2469,19677
5,30,128,1,58.3232077764277,2469,19677
5,30,128,2,58.16119886593763,2469,19677
5,30,128,3,58.89023896314297,2469,19677
5,30,256,1,57.75617658971243,2469,19677
5,30,256,2,59.335763466990684,2469,19677
5,30,256,3,60.388821385176186,2469,19677
5,30,512,1,58.84973673552045,2469,19677
5,30,512,2,58.84973673552045,2469,19677
5,30,512,3,59.862292426083435,2469,19677
5,30,1024,1,57.513163223977315,2469,19677
5,30,1024,2,59.01174564601053,2469,19677
5,30,1024,3,60.06480356419603,2469,19677
5,50,32,1,66.54515998379911,2469,19605
5,50,32,2,68.93479141352775,2469,19605
5,50,32,3,69.17780477926286,2469,19605
5,50,64,1,67.39570676387201,2469,19605
5,50,64,2,68.28675577156744,2469,19605
5,50,64,3,69.38031591737546,2469,19605
5,50,128,1,68.69177804779262,2469,19605
5,50,128,2,69.46132037262049,2469,19605
5,50,128,3,69.74483596597813,2469,19605
5,50,256,1,68.24625354394492,2469,19605
